indicatorId,geoUnit,year,value,qualifier,magnitude
FRESP.THC,MWI,2019,31.28981,,
FRESP.THC,MYS,2012,49.91695,,
FRESP.THC,MYS,2014,48.77893,,
FRESP.THC,MYS,2015,48.5995,,
FRESP.THC,MYS,2016,48.20048,,
FRESP.THC,MYS,2018,49.17503,,
FRESP.THC,MYS,2020,53.2901,,
FRESP.THC,MYS,2022,48.60386,,
FRESP.THC,NAM,2014,38.71829,,
FRESP.THC,NAM,2022,49.48042,,
FRESP.THC,NER,2013,17.03163,,
FRESP.THC,NGA,2019,30.61635,,
FRESP.THC,NLD,2012,23.9529,,
FRESP.THC,NLD,2013,24.56307,,
FRESP.THC,NLD,2014,24.92749,,
FRESP.THC,NLD,2015,25.19722,,
FRESP.THC,NLD,2016,26.05404,,
FRESP.THC,NLD,2017,26.13551,,
FRESP.THC,NLD,2018,27.03818,,
FRESP.THC,NLD,2019,27.85407,,
FRESP.THC,NLD,2020,28.58613,,
FRESP.THC,NLD,2021,30.24504,,
FRESP.THC,NLD,2022,30.17117,,
FRESP.THC,NOR,2012,36.20125,,
FRESP.THC,NOR,2013,36.94738,,
FRESP.THC,NOR,2014,37.43128,,
FRESP.THC,NOR,2015,37.38334,,
FRESP.THC,NOR,2016,37.58173,,
FRESP.THC,NOR,2017,38.064,,
FRESP.THC,NOR,2018,38.75966,,
FRESP.THC,NOR,2019,38.59091,,
FRESP.THC,NOR,2020,38.66219,,
FRESP.THC,NOR,2021,38.54674,,
FRESP.THC,NOR,2022,38.73211,,
FRESP.THC,OMN,2012,18.83167,,
FRESP.THC,OMN,2013,21.1336,,
FRESP.THC,OMN,2014,27.53538,,
FRESP.THC,OMN,2015,27.79939,,
FRESP.THC,OMN,2016,38.22526,,
FRESP.THC,OMN,2017,34.13238,,
FRESP.THC,OMN,2018,36.43186,,
FRESP.THC,OMN,2019,33.9736,,
FRESP.THC,OMN,2020,33.95368,,
FRESP.THC,OMN,2021,34.91619,,
FRESP.THC,OMN,2022,32.99023,,
FRESP.THC,PAK,2013,29.78468,,
FRESP.THC,PAK,2015,33.88926,,
FRESP.THC,PAK,2017,38.78984,,
FRESP.THC,PAK,2019,40.67585,,
FRESP.THC,PAK,2021,42.28401,,
